Player;Season;Season Type;Team;Games;Min;Pts;OReb;Dreb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;FG%;3PTM;3PTA;3PT%;FTM;FTA;FT%
Bo Outlaw;2007-2008;REG;Magic;2;3.31;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.50;1.00;1.50;0.667;0.00;0.00;0.000;0.00;0.00;0.000
Jerome James;2007-2008;REG;Knicks;2;2.28;2.00;0.00;1.50;1.50;0.00;0.00;0.00;0.00;0.00;0.50;0.50;1.000;0.00;0.00;0.000;1.00;1.00;1.000
Michael Ruffin;2007-2008;REG;Bucks;46;13.73;1.98;1.96;2.09;4.04;0.52;0.67;0.41;0.41;2.02;0.72;1.35;0.532;0.00;0.00;0.000;0.54;1.37;0.397
DJ Mbenga;2007-2008;REG;Warriors, Lakers;42;7.75;1.98;0.67;1.05;1.71;0.24;0.17;0.62;0.29;1.67;0.93;2.00;0.464;0.00;0.00;0.000;0.12;0.29;0.417
Maurice Ager;2007-2008;REG;Mavericks, Nets;26;6.35;1.96;0.15;0.35;0.50;0.31;0.00;0.04;0.23;0.65;0.81;2.50;0.323;0.12;0.73;0.158;0.23;0.46;0.500
Trenton Hassell;2007-2008;REG;Mavericks, Nets;63;12.28;1.95;0.32;1.00;1.32;0.65;0.21;0.05;0.35;1.43;0.90;2.14;0.422;0.03;0.14;0.222;0.11;0.16;0.700
Adonal Foyle;2007-2008;REG;Magic;82;9.44;1.90;0.87;1.67;2.54;0.22;0.20;0.55;0.39;1.15;0.85;1.87;0.458;0.00;0.00;0.000;0.20;0.41;0.471
Jason Collins;2007-2008;REG;Nets, Grizzlies;74;15.84;1.89;0.86;1.54;2.41;0.34;0.31;0.34;0.65;2.62;0.72;1.53;0.469;0.00;0.01;0.000;0.46;1.00;0.460
Chris Richard;2007-2008;REG;Timberwolves;52;10.70;1.88;1.00;1.60;2.60;0.35;0.19;0.23;0.46;1.60;0.79;1.67;0.471;0.00;0.00;0.000;0.31;0.52;0.593
Adrian Griffin;2007-2008;REG;Bulls, SuperSonics;35;8.77;1.86;0.80;0.89;1.69;0.77;0.49;0.06;0.60;0.77;0.86;2.17;0.395;0.00;0.00;0.000;0.14;0.26;0.556
Brian Scalabrine;2007-2008;REG;Celtics;48;10.67;1.83;0.46;1.19;1.65;0.83;0.19;0.17;0.54;1.31;0.60;1.96;0.309;0.31;0.96;0.326;0.31;0.42;0.750
Jamaal Magloire;2007-2008;REG;Nets, Mavericks;31;9.22;1.81;0.61;2.26;2.87;0.23;0.03;0.32;0.97;1.61;0.58;1.77;0.327;0.00;0.00;0.000;0.65;1.42;0.455
Scot Pollard;2007-2008;REG;Celtics;22;7.86;1.77;0.64;1.05;1.68;0.14;0.14;0.27;0.23;1.95;0.55;1.05;0.522;0.00;0.00;0.000;0.68;1.00;0.682
Coby Karl;2007-2008;REG;Lakers;17;4.15;1.76;0.18;0.65;0.82;0.53;0.24;0.12;0.29;0.24;0.53;1.53;0.346;0.24;0.76;0.308;0.47;0.59;0.800
Robert Swift;2007-2008;REG;SuperSonics;8;12.21;1.75;0.75;1.50;2.25;0.13;0.63;0.75;1.25;2.00;0.75;2.13;0.353;0.00;0.00;0.000;0.25;0.25;1.000
Kevin Ollie;2007-2008;REG;76ers;40;7.49;1.75;0.10;0.38;0.48;0.95;0.25;0.00;0.13;0.70;0.73;1.73;0.420;0.00;0.03;0.000;0.30;0.38;0.800
Cheikh Samb;2007-2008;REG;Pistons;4;7.83;1.75;0.75;1.00;1.75;0.00;0.25;0.50;0.25;2.00;0.75;1.00;0.750;0.00;0.00;0.000;0.25;0.50;0.500
Jarron Collins;2007-2008;REG;Jazz;70;10.03;1.69;0.57;1.09;1.66;0.53;0.14;0.09;0.31;1.51;0.51;1.17;0.439;0.00;0.01;0.000;0.66;1.06;0.622
